,Nº de producto,Estado,Disponible para la venta,Disponible para la compra,Disponible para integrar otros productos,Compuesto por otros productos,Rubro,Nombre,codigo,Código universal de producto (UPC),Código de proveedor,Stock actual,Stock ideal,Stock mínimo,Unidad,Alicuota de IVA,Proveedor,Costo ($),Utilidad (%),Precio ($),Unnamed: 20,Unnamed: 21,Unnamed: 22,Precio Final ($),Controla stock,Stock negativo,Mostrar en tienda,Nº de publicación en MercadoLibre,Nº de publicación adicional en MercadoLibre,Descripción,Descripción para la tienda,Observaciones Internas
39,40,Habilitado,SI,SI,NO,NO,,ENCHUFE RM REFORZADA DE 1/2 PE,EM12,',',0,0,0,unidad,0.21,CAVALLFER,0,0,41.32231405,49.386422249999995,,50.0,50,SI,SI,NO,0.0,0.0,,,
40,41,Habilitado,SI,SI,NO,NO,,ENCHUFE RM REFORZADA DE 3/4 PE,EM34,',',0,0,0,unidad,0.21,CAVALLFER,0,0,49.58677686,58.756995,,60.0,60,SI,SI,NO,0.0,0.0,,,
41,42,Habilitado,SI,SI,NO,NO,,"ENCHUFE RM REFORZADO DE 1 "" PE",EM1,',',0,0,0,unidad,0.21,CAVALLFER,0,0,107.4380165,130.31654625,,130.0,130,SI,SI,NO,0.0,0.0,,,
42,43,Habilitado,SI,SI,NO,NO,,"TEE ENCHUFE ENCHUFE DOBLE 1"" PE",TEED1,',',0,0,0,unidad,0.21,CAVALLFER,0,0,289.2561983,348.20257724999993,,350.0,350,SI,SI,NO,0.0,0.0,,,
43,44,Habilitado,SI,SI,NO,NO,,TEE ENCHUFE ENCHUFE DOBLE 1/2 PE,TEED12,',',0,0,0,unidad,0.21,CAVALLFER,0,0,190.0826446,227.98432799999998,,230.0,230,SI,SI,NO,0.0,0.0,,,
44,45,Habilitado,SI,SI,NO,NO,,TEE ENCHUFE ENCHUFE DOBLE 3/4 PE,TEED34,',',0,0,0,unidad,0.21,CAVALLFER,0,0,206.6115702,246.26727674999998,,250.0,250,SI,SI,NO,0.0,0.0,,,
45,46,Habilitado,SI,SI,NO,NO,,"TEE ENCHUFE ROSCA HEMBRA 1"" PE",TERH1,',',0,0,0,unidad,0.21,CAVALLFER,0,0,487.6033058,590.86716975,,590.0,590,SI,SI,NO,0.0,0.0,,,
46,47,Habilitado,SI,SI,NO,NO,,TEE ENCHUFE ROSCA HEMBRA 1/2 PE,TERH12,',',0,0,0,unidad,0.21,CAVALLFER,0,0,305.785124,365.6410065,,370.0,370,SI,SI,NO,0.0,0.0,,,
47,48,Habilitado,SI,SI,NO,NO,,TEE ENCHUFE ROSCA HEMBRA 3/4 PE,TERH34,',',0,0,0,unidad,0.21,CAVALLFER,0,0,404.9586777,489.83927850000003,,490.0,490,SI,SI,NO,0.0,0.0,,,
48,49,Habilitado,SI,SI,NO,NO,,"BUJE REDUCCION  3/4"" a 1/2"" PP",BR3412,',',0,0,0,unidad,0.21,CAVALLFER,0,0,90.90909091,114.45036075,,110.0,110,SI,SI,NO,0.0,0.0,,,
49,50,Habilitado,SI,SI,NO,NO,,"BUJE REDUCCION 1"" a 1/2"" PP",BR112,',',0,0,0,unidad,0.21,CAVALLFER,0,0,107.4380165,125.81543699999999,,130.0,130,SI,SI,NO,0.0,0.0,,,
50,51,Habilitado,SI,SI,NO,NO,,"BUJE REDUCCION 1"" a 3/4"" PP",BR134,',',0,0,0,unidad,0.21,CAVALLFER,0,0,107.4380165,132.31104975,,130.0,130,SI,SI,NO,0.0,0.0,,,
