,Unnamed: 0,codigo,detalle,LISTA,COSTO,COSTO + IVA,VENTA
93,,ERV14,ENTRERROSCA 1/4 P/ VIROLA,327.36,#REF!,#REF!,#REF!
94,,ERV38,ENTRERROSCA 3/8 P/ VIROLA,442.12,#REF!,#REF!,#REF!
95,,EHM1214,ENTRERROSCA REDUCCION HM 1/2 x 1/4 P/ VIROLA,722.82,#REF!,#REF!,#REF!
96,,EHM1238,ENTRERROSCA REDUCCION HM 1/2 x 3/8 P/ VIROLA,722.82,#REF!,#REF!,#REF!
97,,EHM3814,ENTRERROSCA REDUCCION HM 3/8 x 1/4 P/ VIROLA,613.38,#REF!,#REF!,#REF!
98,,EMM1214,ENTRERROSCA REDUCCION MM 1/2 x 1/4 P/ VIROLA,613.38,#REF!,#REF!,#REF!
99,,EMM1238,ENTRERROSCA REDUCCION MM 1/2 x 3/8 P/ VIROLA,637.43,#REF!,#REF!,#REF!
100,,EMM3814,ENTRERROSCA REDUCCION MM 3/8 x 1/4 P/ VIROLA,564.42,#REF!,#REF!,#REF!
101,,MPG10,MARIPOSA P/ GARRAFA 10 kgs.,849.52,#REF!,#REF!,#REF!
102,,MPG3,MARIPOSA P/ GARRAFA 3 kgs.,707.97,#REF!,#REF!,#REF!
103,,PMM10,PERNO Y MARIPOSA P/ MANGUERA 10 kgs.,1565.84,#REF!,#REF!,#REF!
104,,PMM3,PERNO Y MARIPOSA P/ MANGUERA 3 kgs.,954.43,#REF!,#REF!,#REF!
105,,TEV14,TEE MMM 1/4 P/ VIROLA,1006.42,#REF!,#REF!,#REF!
106,,TEV38,TEE MMM 3/8 P/ VIROLA,1187.88,#REF!,#REF!,#REF!
107,,TEH14,TEE RHHH 1/4,1006.31,#REF!,#REF!,#REF!
108,,TEH38,TEE RHHH 3/8,1187.88,#REF!,#REF!,#REF!
109,,TUMG,TEE UNION MANGUERA GAS,1219.86,#REF!,#REF!,#REF!
110,,TRH12,TETON RH 1/2,840.51,#REF!,#REF!,#REF!
111,,TRH14,TETON RH 1/4,474.52,#REF!,#REF!,#REF!
112,,TRH38,TETON RH 3/8,629.3,#REF!,#REF!,#REF!
113,,TRM12,TETON RM 1/2,702.64,#REF!,#REF!,#REF!
114,,TRM14,TETON RM 1/4,433.65,#REF!,#REF!,#REF!
115,,TRM38,TETON RM 3/8,557.1,#REF!,#REF!,#REF!
116,,TB12,TUERCA AJUSTE 1/2,552.55,#REF!,#REF!,#REF!
117,,TB14,TUERCA AJUSTE 1/4,212.27,#REF!,#REF!,#REF!
118,,TB38,TUERCA AJUSTE 3/8,225.19,#REF!,#REF!,#REF!
119,,UMG,UNION MANGUERA GAS,456.41,#REF!,#REF!,#REF!
120,,,,0.0,#REF!,#REF!,#REF!
121,,,ACCESORIOS DE POLIETILENO,0.0,#REF!,#REF!,#REF!
122,,CEED1,"CODO ENCHUFE ENCHUFE DOBLE DE 1""",254.73,#REF!,#REF!,#REF!
123,,CEED12,CODO ENCHUFE ENCHUFE DOBLE DE 1/2,83.72,#REF!,#REF!,#REF!
124,,CEED34,CODO ENCHUFE ENCHUFE DOBLE DE 3/4,187.29,#REF!,#REF!,#REF!
125,,CERH1,"CODO ENCHUFE ROSCA HEMBRA DE 1""",345.58,#REF!,#REF!,#REF!
126,,CERH12,CODO ENCHUFE ROSCA HEMBRA DE 1/2,127.49,#REF!,#REF!,#REF!
127,,CERH34,CODO ENCHUFE ROSCA HEMBRA DE 3/4,208.92,#REF!,#REF!,#REF!
128,,EDR3412,ENCHUFE DOBLE REDUCC. REF. 3/4 A 1/2,111.71,#REF!,#REF!,#REF!
129,,EDR134,ENCHUFE DOBLE REDUCCION 1- 3/4,183.48,#REF!,#REF!,#REF!
130,,EDR112,"ENCHUFE DOBLE REDUCCION 1""-1/2",180.93,#REF!,#REF!,#REF!
131,,ED1,"ENCHUFE DOBLE REF.  1""",100.01,#REF!,#REF!,#REF!
132,,ED12,"ENCHUFE DOBLE REF. 1/2""",54.97,#REF!,#REF!,#REF!
133,,ED34,"ENCHUFE DOBLE REF. 3/4""",65.4,#REF!,#REF!,#REF!
134,,ERH112,ENCHUFE REDUCCION ROSCA HEMBRA 1 - 1/2,243.53,#REF!,#REF!,#REF!
135,,ERH134,ENCHUFE REDUCCION ROSCA HEMBRA 1 - 3/4,243.53,#REF!,#REF!,#REF!
136,,ERH1234,ENCHUFE REDUCCION ROSCA HEMBRA 1/2 - 3/4,226.74,#REF!,#REF!,#REF!
137,,ERH341,ENCHUFE REDUCCION ROSCA HEMBRA 3/4 - 1,243.53,#REF!,#REF!,#REF!
138,,ERH3412,ENCHUFE REDUCCION ROSCA HEMBRA 3/4 - 1/2,208.92,#REF!,#REF!,#REF!
139,,ERM112,"ENCHUFE REDUCCION ROSCA MACHO  1"" - 1/2",151.41,#REF!,#REF!,#REF!
140,,ERM134,"ENCHUFE REDUCCION ROSCA MACHO 1"" - 3/4",151.41,#REF!,#REF!,#REF!
141,,ERM1234,ENCHUFE REDUCCION ROSCA MACHO 1/2 - 3/4,119.86,#REF!,#REF!,#REF!
142,,ERM341,"ENCHUFE REDUCCION ROSCA MACHO 3/4 - 1""",151.41,#REF!,#REF!,#REF!
143,,ERM3412,ENCHUFE REDUCCION ROSCA MACHO 3/4 - 1/2,119.86,#REF!,#REF!,#REF!
144,,ERH1,"ENCHUFE RH REFORZADA DE 1""",229.03,#REF!,#REF!,#REF!
145,,ERH12,ENCHUFE RH REFORZADO 1/2,147.6,#REF!,#REF!,#REF!
146,,ERH34,ENCHUFE RH REFORZADO 3/4,174.82,#REF!,#REF!,#REF!
147,,EM12,ENCHUFE RM REFORZADA DE 1/2,54.97,#REF!,#REF!,#REF!
148,,EM34,ENCHUFE RM REFORZADA DE 3/4,65.4,#REF!,#REF!,#REF!
