,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,0.45,DESCUENTO,,,,
1,,,MARGEN,,,,
2,,,,,,,
3,,codigo,detalle,LISTA,COSTO,COSTO + IVA,VENTA
83,,CMM18,CODO MM 1/8 P/ VIROLA,903.83,406.7235,492.135435,812.0234677499999
84,,CMM38,CODO MM 3/8 P/ VIROLA,1161.63,522.7335,632.5075350000001,1043.63743275
85,,CHM1214,CODO REDUCCION H 1/2 x M 1/4 P/ VIROLA,862.18,387.981,469.45700999999997,774.6040664999999
86,,CHM1238,CODO REDUCCION H 1/2 x M 3/8 P/ VIROLA,862.18,387.981,469.45700999999997,774.6040664999999
87,,CMM1214,CODO REDUCCION M 1/2 x M 1/4 P/ VIROLA,569.17,256.12649999999996,309.91306499999996,511.3565572499999
88,,CMM1238,CODO REDUCCION M 1/2 x M 3/8 P/ VIROLA,569.17,256.12649999999996,309.91306499999996,511.3565572499999
89,,CHH14,CODO RHH 1/4,827.81,372.5145,450.742545,743.72519925
90,,CHH18,CODO RHH 1/8,931.67,419.25149999999996,507.2943149999999,837.0356197499998
91,,CHH38,CODO RHH 3/8,1161.63,522.7335,632.5075350000001,1043.63743275
92,,CU14,CUPLA 1/4,384.31,172.9395,209.256795,345.27371175
93,,CU38,CUPLA 3/8,527.77,237.4965,287.370765,474.16176225
94,,CUR1214,CUPLA REDUCCION 1/2 x 1/4,777.31,349.7895,423.24529499999994,698.3547367499999
95,,CUR1238,CUPLA REDUCCION 1/2 x 3/8,777.31,349.7895,423.24529499999994,698.3547367499999
96,,CUR3814,CUPLA REDUCCION 3/8 x 1/4,643.38,289.521,350.32041,578.0286765
97,,ERV14,ENTRERROSCA 1/4 P/ VIROLA,327.36,147.312,178.24752,294.108408
98,,ERV38,ENTRERROSCA 3/8 P/ VIROLA,442.12,198.954,240.73434,397.211661
99,,EHM1214,ENTRERROSCA REDUCCION HM 1/2 x 1/4 P/ VIROLA,722.82,325.269,393.57549,649.3995585
100,,EHM1238,ENTRERROSCA REDUCCION HM 1/2 x 3/8 P/ VIROLA,722.82,325.269,393.57549,649.3995585
101,,EHM3814,ENTRERROSCA REDUCCION HM 3/8 x 1/4 P/ VIROLA,613.38,276.021,333.98541,551.0759264999999
102,,EMM1214,ENTRERROSCA REDUCCION MM 1/2 x 1/4 P/ VIROLA,613.38,276.021,333.98541,551.0759264999999
103,,EMM1238,ENTRERROSCA REDUCCION MM 1/2 x 3/8 P/ VIROLA,637.43,286.8435,347.080635,572.6830477499999
104,,EMM3814,ENTRERROSCA REDUCCION MM 3/8 x 1/4 P/ VIROLA,564.42,253.98899999999998,307.32669,507.08903849999996
105,,MPG10,MARIPOSA P/ GARRAFA 10 kgs.,849.52,382.284,462.56363999999996,763.2300059999999
106,,MPG3,MARIPOSA P/ GARRAFA 3 kgs.,707.97,318.5865,385.489665,636.05794725
107,,PMM10,PERNO Y MARIPOSA P/ MANGUERA 10 kgs.,1565.84,704.6279999999999,852.5998799999999,1406.7898019999998
108,,PMM3,PERNO Y MARIPOSA P/ MANGUERA 3 kgs.,954.43,429.4935,519.687135,857.48377275
109,,TEV14,TEE MMM 1/4 P/ VIROLA,1006.42,452.889,547.99569,904.1928884999999
110,,TEV38,TEE MMM 3/8 P/ VIROLA,1187.88,534.546,646.80066,1067.221089
111,,TEH14,TEE RHHH 1/4,1006.31,452.8395,547.935795,904.0940617499999
112,,TEH38,TEE RHHH 3/8,1187.88,534.546,646.80066,1067.221089
113,,TUMG,TEE UNION MANGUERA GAS,1219.86,548.937,664.21377,1095.9527205
114,,TRH12,TETON RH 1/2,840.51,378.22950000000003,457.65769500000005,755.1351967500001
115,,TRH14,TETON RH 1/4,474.52,213.534,258.37613999999996,426.32063099999993
116,,TRH38,TETON RH 3/8,629.3,283.185,342.65385,565.3788524999999
117,,TRM12,TETON RM 1/2,702.64,316.188,382.58747999999997,631.2693419999999
